,CO:coDesc,Fixed Final,predictions
0,ibm work job call build design code consult think along client sell make market invent collabor someth better attempt thing youv never thought possibl lead new era technolog solv world challeng problem ibm lead cloud platform cognit solut compani restlessli reinvent sinc 1911 largest technolog consult employ world 380000 employe serv client 170 countri watson ai platform busi power data build industrybas solut realworld problem seven decad ibm research defin futur inform technolog 3000 research 12 lab locat across six contin inform visit wwwibmcom ibm offici linkedin account follow ibm social comput guidelin reserv right delet comment offens suggest person attack anonym wildli offtop spam advertis inform regard ibm social comput guidelin visit httpibmco1lrdq6f,1.0,1
4,ey global leader assur tax transact advisori servic insight qualiti servic deliv help build trust confid capit market economi world develop outstand leader team deliv promis stakehold play critic role build better work world peopl client commun ey refer global organ may refer one member firm ernst young global limit separ legal entiti ernst young global limit uk compani limit guarante provid servic client inform organ pleas visit eycom ey materi page prepar gener inform purpos intend reli upon account tax profession advic pleas refer advisor specif advic,1.0,1
5,pwc help organ individu creat valu theyr look network firm 157 countri 223000 peopl tell us matter find visit us wwwpwccom gain custom access insight download thought leadership pwc 365 app visit itun access httpsitunesapplecomusapppwcs365id689591286ls1mt8 help client extraordinari everi day see httppwcto1c8tf53,1.0,1
6,cogniz nasdaq100 ctsh one world lead profession servic compani transform client busi oper technolog model digit era uniqu industrybas consult approach help client envis build run innov effici busi headquart us cogniz rank 195 fortun 500 consist list among admir compani world learn cogniz help client lead digit wwwcognizantcom follow us cogniz,1.0,1
9,appl divers collect thinker doer continu reimagin what possibl help us love new way peopl work reinvent entir industri mac iphon ipad appl watch well servic includ itun app store appl music appl pay passion innov goe product also appli practic strengthen commit leav world better found appl equal opportun employ commit inclus divers visit jobsapplecom learn,2.0,1
10,notic pend page closur part effort properli reflect independ legal statu samsung affili compani samsung page linkedin close follow page currentform employe identifi employ samsung kindli advis follow identifi samsung electron andor one samsung affili compani list instead page job seeker encourag refer affili compani page inform avail posit greatli appreci interest samsung hope continu follow us check regularli opportun work us,1.0,1
14,minneapolisbas target corpor nyse tgt serv guest 1800 store targetcom sinc 1946 target given five percent profit commun today equal million dollar week inform visit targetcompressroom behindthescen look target visit abullseyeviewcom follow targetnew twitter,2.0,1
17,intel build better world busi mission util power moor law bring smart connect devic everi person earth serv role model compani oper power amaz experi divers product line excit partnership strategi virtuou cycl innovationth cloud data center internet thing memori fpga bound togeth goal greater connect enhanc perform global team 107000 strong across 58 countri powerhous engin technolog excel empow solut world toughest problem creat technolog tomorrow intel amaz work,1.0,1
18,intel build better world busi mission util power moor law bring smart connect devic everi person earth serv role model compani oper power amaz experi divers product line excit partnership strategi virtuou cycl innovationth cloud data center internet thing memori fpga bound togeth goal greater connect enhanc perform global team 107000 strong across 58 countri powerhous engin technolog excel empow solut world toughest problem creat technolog tomorrow intel amaz work,1.0,1
22,home depot world largest home improv specialti retail valu reward dedic knowledg experienc profession oper 2200 retail store 50 state district columbia puerto rico us virgin island guam canada mexico associ one thing mind help custom build improv upon home join home depot team today see consist rank top fortun 500 compani,2.0,1
23,fiat chrysler automobil fca design engin manufactur sell vehicl relat part servic compon product system worldwid 159 manufactur facil 87 rd center dealer distributor 140 countri stabl brand includ abarth alfa romeo chrysler dodg fiat fiat profession jeep lancia ram maserati mopar part servic brand group busi also includ comau product system magneti marelli compon teksid iron cast addit retail dealer financ leas rental servic relat support group car busi provid either subsidiari financi partner captiv compani affili joint ventur lead bank andor financi institut special provid fca list new york stock exchang symbol fcau mercato telematico azionario symbol fca,1.0,1
27,astrazeneca global sciencel biopharmaceut compani focus discoveri develop commercialis prescript medicin purpos push boundari scienc deliv lifechang medicin,1.0,1
28,goldman sach believ progress everyon busi that commit peopl capit idea help client sharehold commun serv grow found 1869 goldman sach lead global invest bank secur invest manag firm headquart new york maintain offic major financi center around world compani found wwwgoldmansachscom insight develop current shape market industri global economi subscrib brief weekli email goldman sach copi past link browser sign httplinkgscomqxf3,1.0,1
33,kindr lead diversifi postacut healthcar provid transit care hospit rehabilit servic kindr healthcar mission promot heal provid hope preserv digniti produc valu patient resid famili member custom employe sharehold serv,1.0,1
34,one extens portfolio end end servic offer market sopra steria european leader digit transform provid one comprehens portfolio endtoend servic offer market consult system integr softwar develop infrastructur manag busi process servic sopra steria trust lead privat publicsector organis deliv success transform programm address complex critic busi challeng combin high qualiti perform servic ad valu innov sopra steria enabl client make best use digit technolog nearli 42000 employe 20 countri sopra steria gener revenu 38 billion 2017,1.0,1
38,salesforc custom success platform social mobil cloud technologiesinclud flagship sale crm applicationshelp compani connect custom partner employe entir new way privaci statement httpwwwsalesforcecomcompanyprivaci ventur search content thrill inspir inform interactivesalesforcecomdiscovercontentcollect,1.0,1
39,australia lead provid financi servic includ retail premium busi institut bank fund manag superannu insur invest sharebrok product servic busi 8,1.0,1
43,qanta airway flag carrier australia largest airlin fleet size intern flight intern destin,2.0,0
45,dr kati rodan dr kathi field met stanford univers dermatolog resid bond person struggl acn understand skin issu impact selfesteem selfconfid combin person connect profession expertis share mission provid everyon lifechang skincaretm deliv real result today rodan field grown humbl begin dr kati rodan kitchen 1 skincar brand us 2016 combin innov product hightech hightouch approach result million custom experienc benefit rodan field transform skincar welcom big idea fuel ambiti growth plan look lifechang career opportun weve got prescript rodan field challeng make impact inspir reward contribut,2.0,1
